sample,video_id,clip_id,source_words,alignable_words,aligned_words,untimed_words,mean_ctc_probability,asr_wer,first_start_s,last_end_s,review_flags,status,words_relpath,details_relpath,error
sample_0001,-3g5yACwYnA,13,15,15,15,0,0.862799,0.533333,1.44,4.86,asr_disagreement;transcript_review_needed,needs_review,mosei-word-times-v1.0/sample_0001.csv,mosei-word-times-v1.0/sample_0001.json,
sample_0002,-3g5yACwYnA,3,29,29,29,0,0.911553,0.448276,0.6,12.94,asr_disagreement;low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0002.csv,mosei-word-times-v1.0/sample_0002.json,
sample_0003,-3g5yACwYnA,2,14,14,14,0,0.89238,0.714286,1.86,7.68,asr_disagreement,needs_review,mosei-word-times-v1.0/sample_0003.csv,mosei-word-times-v1.0/sample_0003.json,
sample_0004,-3g5yACwYnA,9,21,21,21,0,0.894496,0.391304,0.8,8.48,asr_disagreement,needs_review,mosei-word-times-v1.0/sample_0004.csv,mosei-word-times-v1.0/sample_0004.json,
sample_0005,-3nNcZdcdvU,5,18,18,18,0,0.974808,0.166667,0.56,7.24,,auto_checked,mosei-word-times-v1.0/sample_0005.csv,mosei-word-times-v1.0/sample_0005.json,
sample_0006,-HwX2H8Z4hY,2,8,4,4,4,0.996915,0.25,2.7,3.34,speaker_annotation_review,needs_review,mosei-word-times-v1.0/sample_0006.csv,mosei-word-times-v1.0/sample_0006.json,
sample_0007,-HwX2H8Z4hY,5,10,9,9,1,0.88516,0.222222,0.8,5.08,,auto_checked,mosei-word-times-v1.0/sample_0007.csv,mosei-word-times-v1.0/sample_0007.json,
sample_0008,-HwX2H8Z4hY,6,7,7,7,0,0.844976,0.285714,0.56,2.82,,auto_checked,mosei-word-times-v1.0/sample_0008.csv,mosei-word-times-v1.0/sample_0008.json,
sample_0009,-HwX2H8Z4hY,9,22,22,22,0,0.775832,0.863636,0.56,7.1,asr_disagreement;long_word_span;low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0009.csv,mosei-word-times-v1.0/sample_0009.json,
sample_0010,-NFrJFQijFE,1,16,16,16,0,0.012078,1.0,0.08,4.02,asr_disagreement;low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0010.csv,mosei-word-times-v1.0/sample_0010.json,
sample_0011,-NFrJFQijFE,2,18,18,18,0,0.128316,1.0,0.66,6.68,asr_disagreement;low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0011.csv,mosei-word-times-v1.0/sample_0011.json,
sample_0012,-THoVjtIkeU,12,39,39,39,0,0.966316,0.102564,0.0,14.12,,auto_checked,mosei-word-times-v1.0/sample_0012.csv,mosei-word-times-v1.0/sample_0012.json,
sample_0013,-THoVjtIkeU,2,10,10,10,0,0.943174,0.1,0.04,3.7,,auto_checked,mosei-word-times-v1.0/sample_0013.csv,mosei-word-times-v1.0/sample_0013.json,
sample_0014,-THoVjtIkeU,6,30,30,30,0,0.893423,0.133333,0.48,7.54,low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0014.csv,mosei-word-times-v1.0/sample_0014.json,
sample_0015,-UuX1xuaiiE,1,27,27,27,0,0.961505,0.185185,0.48,10.14,,auto_checked,mosei-word-times-v1.0/sample_0015.csv,mosei-word-times-v1.0/sample_0015.json,
sample_0016,-UuX1xuaiiE,0,9,9,9,0,0.834822,0.222222,0.04,2.98,low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0016.csv,mosei-word-times-v1.0/sample_0016.json,
sample_0017,-UuX1xuaiiE,3,9,9,9,0,0.828415,0.444444,0.56,3.64,asr_disagreement;low_ctc_probability,needs_review,mosei-word-times-v1.0/sample_0017.csv,mosei-word-times-v1.0/sample_0017.json,
